ID,session,id,clickCnt,killCnt,killRate_1or2,killRate_3or4,killRate_6or7,date
1,1,1,438.6675852338045,10,1,1.9788922582437375e-84,1.0096732676842184e-79,2025-06-10
1,2,2,409.34500664196815,10,1.1075439355021794e-46,1.334475389388327e-38,1,2025-06-17
1,3,3,531.8019429186329,2,1,2.1208031331811825e-157,0.999878336749656,2025-06-24
2,1,4,395.0237770758612,5,1.4312590450361038e-33,1.3472348072505315e-38,6.642568012337091e-23,2025-05-28
2,2,5,461.2208027781652,7,1,5.559268155620583e-10,1.0616484136404777e-210,2025-06-04
2,3,6,399.9969519783262,7,1,9.090170655804366e-47,2.9789597724494326e-243,2025-06-11
3,1,7,429.8619043804772,4,1,5.513330457798661e-144,1.4684135090791437e-100,2025-06-15
3,2,8,418.07706497699417,8,1,4.8940394486836774e-73,0.9999999982003009,2025-06-22
3,3,9,367.5301469400693,7,1,1,8.885888746746809e-39,2025-06-29
4,1,10,451.6984486620264,3,1.2704958734063996e-78,0.021036837048860533,1.112235698752e-311,2025-07-18
4,2,11,390.3586737653848,11,1,3.683806654736098e-6,4.7278443048911746e-294,2025-07-25
4,3,12,369.47585933686315,5,1,1.571618016715794e-79,1.112235698752e-311,2025-08-01
5,1,13,371.401624471102,6,1,1,0,2025-05-23
5,2,14,388.0849510129747,10,1,3.0029094633283054e-109,1.112235698752e-311,2025-05-30
5,3,15,512.2194013695532,8,9.558763857766853e-23,2.960282020396607e-57,1.112235698752e-311,2025-06-06
6,1,16,463.5306155704109,5,3.558367050017046e-35,1.4391882530796773e-46,3.439598232794638e-188,2025-06-22
6,2,17,450.9972636810342,9,1,3.6698887566615207e-90,5.498438899416779e-20,2025-06-29
6,3,18,502.71987362042694,6,1,7.143010034610562e-9,1.0264846849839125e-18,2025-07-06
7,1,19,435.96044796636824,12,1,3.1301275349825314e-74,5.121771152861174e-29,2025-06-14
7,2,20,414.30978624233154,6,0.999999994597317,0.9999999805438786,0.6416007901947193,2025-06-21
7,3,21,420.85371837275727,3,0.9999996952958992,5.5254526955114725e-28,3.5444687195571844e-24,2025-06-28
8,1,22,469.28340094678924,7,1,2.820269999581714e-175,1.112235698752e-311,2025-06-16
8,2,23,387.24492701161415,4,6.427047713408356e-19,1,3.6287261568188584e-36,2025-06-23
8,3,24,365.1593911741529,10,1,4.371372727132004e-35,9.833430263630656e-41,2025-06-30
9,1,25,420.7620135218748,5,1,4.997358896267765e-65,1.112235698752e-311,2025-04-11
9,2,26,474.8714013233227,9,1,2.0176262081475759e-28,8.535446202948129e-81,2025-04-18
9,3,27,392.0747950193992,4,1,1,1,2025-04-25
10,1,28,420.89078687653745,6,1,6.498160364587966e-110,4.378061701125834e-198,2025-04-17
10,2,29,469.1403020558539,6,1,3.660306103474273e-74,2.9822180171788803e-59,2025-04-24
10,3,30,420.2479729504041,11,6.582408855453066e-10,4.366076208014098e-25,0.9964794145089391,2025-05-01
11,1,31,497.72217271632894,6,1,0.005267246152488193,1.2299275714146397e-137,2025-02-27
11,2,32,368.76850830626347,5,1,7.263668328734491e-30,0,2025-03-06
11,3,33,389.2870191713191,6,1,0.02148605408057207,4.12167838392471e-116,2025-03-13
12,1,34,422.03124460148837,3,1,8.545646713252845e-84,8.602014008749119e-211,2025-04-01
12,2,35,401.58204911773015,3,1,1.7039938095441737e-29,9.14603597108711e-5,2025-04-08
12,3,36,470.65096220598866,5,0.9999999999937835,4.740149115319362e-25,7.241352672485027e-180,2025-04-15
13,1,37,505.29037017882183,6,1,1,1,2025-08-21
13,2,38,451.8707313385511,5,1,1,4.826692464370277e-131,2025-08-28
13,3,39,507.239553917632,8,1,1.8995828062501182e-9,1.0821591804113593e-265,2025-09-04
14,1,40,442.76888296320266,2,3.6318621653217264e-76,0.9998648784593209,1.4143963592160643e-28,2025-04-30
14,2,41,490.73574095261495,6,5.454993404717656e-61,0.9999999999999991,1.499526629910134e-137,2025-05-07
14,3,42,431.6045403200584,7,0.9999999999999836,1,1.112235698752e-311,2025-05-14
15,1,43,438.3291306562732,7,1,1.6303847382201738e-25,3.3783309798861733e-215,2025-08-17
15,2,44,448.0308485492362,4,1,3.0599027820214376e-22,3.40623627688752e-308,2025-08-24
15,3,45,339.869515907481,3,1,4.469327460826532e-235,1.112235698752e-311,2025-08-31
16,1,46,469.3124635769984,5,1,9.41580444611835e-13,1.112235698752e-311,2025-05-02
16,2,47,518.9830868672876,9,3.2925906958709642e-34,1.9264304343630594e-17,0,2025-05-09
16,3,48,454.83541154103506,2,1,2.333474150308619e-13,4.049722173947096e-117,2025-05-16
17,1,49,444.898602057389,6,1.1269460101757882e-26,2.6428166054273845e-191,9.370967846109833e-112,2025-07-25
17,2,50,348.9402912104821,7,1,1,1.4563857706589576e-14,2025-08-01
17,3,51,493.9945419957056,13,1,2.069823294834743e-87,2.1928805227895325e-5,2025-08-08
18,1,52,433.504413222156,11,1,0.9998847311889086,3.537685031877154e-110,2025-07-14
18,2,53,387.9632461138038,3,0.9999999166475028,0.9999999983753525,1.112235698752e-311,2025-07-21
18,3,54,417.8202900765851,5,1,1.3917255606587454e-115,6.996826064272768e-162,2025-07-28
19,1,55,440.4795072062904,4,1,1.5227105683876044e-31,1,2025-05-15
19,2,56,403.60431450160615,7,0.9999985157787895,4.2207632670944806e-5,9.58487437661877e-182,2025-05-22
19,3,57,516.3423729558579,4,1,0.06496156873090318,1.112235698752e-311,2025-05-29
20,1,58,531.1988503909606,11,1,0.999999999998497,1,2025-08-24
20,2,59,427.25960680694567,4,1,3.092107905374946e-83,9.057626965046795e-11,2025-08-31
20,3,60,377.82751758503485,8,1,2.8263165907656435e-9,1.112235698752e-311,2025-09-07
21,1,61,438.981849760223,5,1,1,0,2025-08-01
21,2,62,415.087073646816,11,3.4005497851868075e-16,2.5615251854161048e-21,1.112235698752e-311,2025-08-08
21,3,63,359.00588011229297,1,1,4.979098708420181e-63,7.006742903861458e-56,2025-08-15
22,1,64,458.0028028003158,6,1,2.674296476552692e-19,1.112235698752e-311,2025-02-28
22,2,65,381.0484907357551,13,1,7.517987655520925e-18,1.2877616661692198e-84,2025-03-07
22,3,66,467.23467408747223,5,1,1.1912080807520647e-55,3.708428272508956e-148,2025-03-14
23,1,67,406.3065933640203,5,1,1,1.112235698752e-311,2025-03-31
23,2,68,410.4568925242032,5,1,1.3657574794537846e-130,1,2025-04-07
23,3,69,362.43247779067906,13,1,8.137251889106307e-99,1.1829427680120163e-99,2025-04-14
24,1,70,443.5188639346003,10,1,1,5.836467900095401e-178,2025-03-29
24,2,71,473.64768396780653,1,1,1.4375934156453017e-29,3.5022940879325686e-128,2025-04-05
24,3,72,349.2050708035667,4,1,6.842259415562754e-15,1,2025-04-12
25,1,73,482.32890099560314,6,1,4.454893386449243e-12,1.112235698752e-311,2025-05-09
25,2,74,479.00226466878695,7,1,0.9999999999999987,3.0362157399759833e-53,2025-05-16
25,3,75,472.4179879978523,9,1,0.9999999921833068,3.6241837040772475e-249,2025-05-23
26,1,76,512.706570603545,7,2.274733561780874e-30,9.401471563291486e-75,3.360697513258675e-117,2025-06-22
26,2,77,443.0718898392293,8,1,0.999976373874094,5.653399587324342e-304,2025-06-29
26,3,78,470.64061844838676,12,1,9.799056303847015e-59,1.6984501784578586e-178,2025-07-06
27,1,79,363.8071129926814,12,1,3.515760359941438e-100,2.2119073204834168e-141,2025-03-13
27,2,80,409.671284945412,4,1,0.999999999999988,1.1556886878920199e-56,2025-03-20
27,3,81,397.30432633322744,3,1,1,2.7684103763306043e-212,2025-03-27
28,1,82,503.2326848761484,3,1,1.1837193220726854e-15,1.9912399026760794e-203,2025-03-31
28,2,83,474.7001421254106,6,1,6.862320093109756e-130,2.4739179612552195e-176,2025-04-07
28,3,84,343.74423072177046,6,1,0.9932757744091496,1,2025-04-14
29,1,85,395.91783784952196,1,1,0.965977941141961,0,2025-06-19
29,2,86,447.26246340759707,6,1,0.9999999999999999,1.003905265522964e-305,2025-06-26
29,3,87,473.1889808842226,7,1,1.3441452229061797e-64,1,2025-07-03
30,1,88,558.506307402526,4,8.218459804953597e-11,0.9999999999656259,4.102876605846993e-50,2025-06-29
30,2,89,451.4056890033791,8,1,1.7883400775742043e-188,0,2025-07-06
30,3,90,433.1692639244755,6,1,1.9334677048900867e-8,1.6719897894928977e-7,2025-07-13
31,1,91,445.51652414768654,9,1,3.648581994720458e-30,1.62879156377217e-28,2025-03-13
31,2,92,392.06718362118283,5,1,1,2.950159732252837e-14,2025-03-20
31,3,93,422.86354179937405,8,1,2.184821410936666e-8,2.9658327634380345e-68,2025-03-27
32,1,94,490.97264169732125,4,1,0.8896649667513836,3.138481190120107e-138,2025-07-17
32,2,95,499.67050800392974,9,1,2.6459323278850964e-21,1,2025-07-24
32,3,96,393.349968298104,8,1,9.012904846834177e-10,1,2025-07-31
33,1,97,382.69340037625585,9,1.2755002957915143e-8,1,1.915308003827393e-238,2025-05-16
33,2,98,526.869942913455,6,1,0.9999109391872842,1.123318726522497e-180,2025-05-23
33,3,99,343.7341030845868,6,1,7.705596473600177e-180,1.3618436022975548e-155,2025-05-30
34,1,100,479.1645688100573,2,1,0.9300776800055142,8.634524542510679e-11,2025-07-15
34,2,101,548.0830781945739,9,1,0.9999916542958573,0,2025-07-22
34,3,102,486.46361886199077,1,1,4.207191852595968e-51,5.422376350241145e-97,2025-07-29
35,1,103,485.9790100868326,8,1.0842344704132567e-29,6.859921221426319e-228,5.111214551099454e-12,2025-05-02
35,2,104,445.6491664560499,4,1,5.974159992646005e-43,9.708467788373153e-189,2025-05-09
35,3,105,353.39361701810344,6,1,1,1.8172821380895076e-101,2025-05-16
36,1,106,474.1673920879376,10,1,2.799606267369546e-34,1.112235698752e-311,2025-08-09
36,2,107,452.7766603207293,8,1,5.409846576803278e-115,1.3335363643295859e-17,2025-08-16
36,3,108,417.0177913064958,8,1,1.599710313576209e-81,2.8974243975374226e-256,2025-08-23
37,1,109,421.32119199523794,6,0.985402174114929,4.752158466150602e-35,1,2025-07-15
37,2,110,476.40553227870515,9,9.439766524633378e-23,1.9998284708359497e-180,6.862895765350412e-74,2025-07-22
37,3,111,318.6799671554635,9,1,6.511999714983528e-243,1.112235698752e-311,2025-07-29
38,1,112,405.3956480555986,8,1,0.20765240011000585,6.061241568959479e-176,2025-03-13
38,2,113,413.234078793444,3,1,6.253601216925242e-6,7.496986674087542e-62,2025-03-20
38,3,114,528.5563518949488,8,1,2.289817704216483e-14,1,2025-03-27
39,1,115,446.13753431342553,8,1,3.755434842100251e-21,7.799067688254638e-276,2025-07-30
39,2,116,489.6408731328061,3,1,1,1,2025-08-06
39,3,117,443.56363755968664,4,3.490023339467145e-80,0.9960790372664455,2.0003521458063452e-198,2025-08-13
40,1,118,454.0523377794775,7,1,1,2.287053002109911e-16,2025-07-26
40,2,119,457.1505424550298,5,1,1.6809199289680732e-51,1.112235698752e-311,2025-08-02
40,3,120,373.1824883587796,10,1,1.4060408708793655e-46,1.112235698752e-311,2025-08-09
41,1,121,384.49283116593404,2,1,3.36854194514258e-245,1.112235698752e-311,2025-04-21
41,2,122,438.997382736262,0,1,1.5239005398989323e-42,0.9999999231243933,2025-04-28
41,3,123,417.3080388103508,6,3.842028336889356e-29,4.844810787263311e-96,0,2025-05-05
42,1,124,390.8487814434294,4,1,0.9999939420453785,3.0351353531144993e-191,2025-05-25
42,2,125,418.0599672219223,7,0.6822473573173511,8.903484740778815e-76,1,2025-06-01
42,3,126,473.9923394519083,10,1,0.9999999999999827,0,2025-06-08
43,1,127,360.4919721433762,2,3.4887662048097855e-5,1.9774791987085638e-18,1.4734350423106947e-4,2025-06-03
43,2,128,415.93101469003324,7,1,9.682665299982652e-12,2.293959864508175e-27,2025-06-10
43,3,129,452.6636404350987,5,1,1.5507858863089985e-39,0,2025-06-17
44,1,130,429.3894154254413,10,3.0197374415517822e-25,0.9974755871964793,1,2025-06-01
44,2,131,349.0828990506882,3,1,5.0060964733359814e-14,1,2025-06-08
